1p-sc.canva.com AS396982 AS396982 - GOOGLE LLC US 34.83.144.0/20
about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
advocates.canva.com AS16509 AS16509 - AMAZON.COM, INC. US 34.208.0.0/12
affiliates.canva.com AS16509 AS16509 - AMAZON.COM, INC. US 54.188.0.0/15
album.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
api.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
app-resources.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
apps.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
ar-eg.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
audio-ftp.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
audio-private.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
audio-public.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
audio-upload.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
banner-static.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
button-demo.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
capi.cse.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 52.44.0.0/15
careers.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
category-public.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
cl.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
community.canva.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.60.0/22
content-management-files.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
creator.canva.com AS15169 AS15169 - GOOGLE LLC US 34.116.0.0/14
ct.canva.com AS15169 AS15169 - GOOGLE LLC US 216.239.34.0/24
da-dk.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
de-de.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
de-de.learn.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
deploy.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
design-automation-font-recommendations.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
design-automation-preset-styles.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
designschool.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
desktop-release.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
developer.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
developers.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
docs.developer.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.18.0.0/20
document-export.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
email-design-template.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
email-public.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
email.teamable.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
en-in.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
engineering.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
es-ar.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
es-co.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
es-es.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
es-mx.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
es-mx.learn.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
es-us.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
experiments-static.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
export-download.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
font-ingest.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
font-private.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
font-public.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
font-subsets.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
fr-fr.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
fr-fr.learn.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
ftp.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
go.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 18.232.0.0/14
go.edu.canva.com AS14618 AS14618 - AMAZON.COM, INC. US 35.168.0.0/13
help-public.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
id-id.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
id-id.learn.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
image-manipulation.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
image.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
import-contributor-upload.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
import.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
inproductmarketing-static.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
insights.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
it-it.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
ja-jp.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
ja-jp.learn.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
ko-kr.about.canva.com AS13335 AS13335 - CLOUDFLARE, INC. US 104.17.112.0/20
