21735.xapi-int.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.218.128.0/17
42rumjxqnwpw.xapi-dev.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.218.128.0/17
92q.sp2.xapi-int.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.218.128.0/17
a11y.xfn-ops.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.230.160.0/22
ac-dev.cmp.xfinity.com AS8075 AS8075 - MICROSOFT CORPORATION US 13.64.0.0/11
acadeals.xfinity.com AS174 AS174 - COGENT COMMUNICATIONS US 38.0.0.0/8
accel.xpp.tv.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 69.240.0.0/12
accesspass.wifi.xfinity.com AS701 AS701 - MCI COMMUNICATIONS SERVICES, INC. D/B/A VERIZON BUSINESS US 63.64.0.0/12
acs-perf.xoe.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 23.20.0.0/15
activate.courtesyflex-st.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
activate.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
activatecablecard.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
addresssearch-us-west-2.aws-origin.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.64.0/21
addresssearch.cws.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.81.132.0/22
admin-int.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
admin-prd.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 69.240.0.0/12
admin-stg.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
admin.int.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
admin.selectwifi.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
admin.stg.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
admin.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 69.240.0.0/12
agent-asha.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
agent-ashb.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
agent-dev.cxco-chat.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 100.20.0.0/14
agent.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
agentprofile-admin-np.aws-origin.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.230.160.0/22
agentprofile-qa.cws.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.5.224.0/20
agentprofile.cws.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.81.132.0/22
aibredir.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
ak4netlab.xapi-dev.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.218.128.0/17
alb-ashb.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
alertmanager-openshift-metrics.xfn-ops.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
amdocs-crm.gslb2.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 76.96.0.0/11
amdocs-crmclient.gslb2.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 76.96.0.0/11
amdocs-omni-ext.gslb2.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
amdocs-omni-preprod.gslb2.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 68.80.0.0/13
ape-cmp.cws.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.81.132.0/22
ape-east1.cmp.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.64.0/21
ape-portal.aws.cmp.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 52.72.0.0/15
ape-portal.cmp.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 23.20.0.0/15
ape-t-xfin-me.aws.cmp.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.64.0/21
ape.cmp.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 18.204.0.0/14
api-alpha.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 52.70.0.0/15
api-asha.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
api-ashb.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
api-beta.mbo.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 18.232.0.0/14
api-beta.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
api-ci.mbo.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
api-ci.mobile.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
api-dev.cxco-chat.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 34.208.0.0/12
api-dev.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 3.130.0.0/16
api-dev.xoe.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 13.225.202.0/23
