-1249852061	microsoft outlook	http://autodiscover.cn.roblox.com:80/
-1279294674	zendesk-support	http://en.help.roblox.com:80/
-1279294674	zendesk-support	http://help.roblox.com:80/
-1279294674	zendesk-support	https://en.help.roblox.com:443/
-1279294674	zendesk-support	https://help.roblox.com:443/
0	zero byte favicon	http://devforum.roblox.com/
0	zero byte favicon	http://devforum.roblox.com:80/
0	zero byte favicon	https://devforum.roblox.com/
0	zero byte favicon	https://devforum.roblox.com:443/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://en.help.roblox.com:80/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://help.roblox.com:80/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://en.help.roblox.com:443/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://help.roblox.com:443/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://devforum.roblox.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://devforum.roblox.com:80/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://devforum.roblox.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://devforum.roblox.com:443/
